Variable i,Variable j,Time lag of i,Link type i --- j,Link value
jerseyNumber,jerseyNumber,2,-->,-0.13723
jerseyNumber,jerseyNumber,3,-->,-0.14542
jerseyNumber,jerseyNumber,4,-->,-0.073154
jerseyNumber,jerseyNumber,5,-->,-0.11896
jerseyNumber,closeTeams,0,o-o,0.32968
jerseyNumber,closeTeams,1,-->,-0.19839
jerseyNumber,closeTeams,2,-->,-0.1877
jerseyNumber,closeTeams,5,-->,-0.057721
jerseyNumber,distantTeams,0,o-o,-0.32589
jerseyNumber,distantTeams,1,-->,0.20041
jerseyNumber,distantTeams,2,-->,0.18779
jerseyNumber,distantTeams,5,-->,0.056292
jerseyNumber,closeOps,0,o-o,0.4126
jerseyNumber,closeOps,1,-->,-0.1479
jerseyNumber,closeOps,2,-->,-0.12975
jerseyNumber,closeOps,3,-->,-0.04959
jerseyNumber,closeOps,4,-->,-0.043054
jerseyNumber,closeOps,5,-->,-0.099931
jerseyNumber,distantOps,0,o-o,-0.41427
jerseyNumber,distantOps,1,-->,0.14759
jerseyNumber,distantOps,2,-->,0.12955
jerseyNumber,distantOps,4,-->,0.037674
jerseyNumber,distantOps,5,-->,0.095015
jerseyNumber,coordinate_y,0,o-o,0.039361
jerseyNumber,speed,0,o-o,-0.16282
jerseyNumber,speed,1,-->,0.12168
jerseyNumber,speed,2,-->,0.11057
jerseyNumber,speed,4,-->,-0.047461
behaviour,behaviour,1,-->,0.6771
behaviour,closeTeams,0,o-o,-0.059687
behaviour,closeTeams,1,-->,-0.065441
behaviour,closeTeams,2,-->,0.029005
behaviour,distantTeams,0,o-o,0.057966
behaviour,distantTeams,1,-->,0.065119
behaviour,distantTeams,2,-->,-0.030035
behaviour,closeOps,0,o-o,-0.042983
behaviour,closeOps,1,-->,-0.059905
behaviour,distantOps,0,o-o,0.041231
behaviour,distantOps,1,-->,0.058616
behaviour,speed,0,o-o,0.099489
behaviour,speed,1,-->,0.036336
closeTeams,jerseyNumber,1,-->,0.063607
closeTeams,jerseyNumber,3,-->,-0.10122
closeTeams,closeTeams,1,-->,0.11596
closeTeams,closeTeams,2,-->,0.073159
closeTeams,closeTeams,3,-->,0.066927
closeTeams,distantTeams,0,o-o,-0.99987
closeTeams,closeOps,0,o-o,0.78854
closeTeams,distantOps,0,o-o,-0.78508
closeTeams,coordinate_x,0,o-o,-0.041799
closeTeams,speed,0,o-o,-0.2535
closeTeams,speed,2,-->,0.031483
distantTeams,jerseyNumber,1,-->,-0.054846
distantTeams,jerseyNumber,3,-->,0.10232
distantTeams,jerseyNumber,4,-->,0.052668
distantTeams,closeTeams,4,-->,-0.072718
distantTeams,distantTeams,1,-->,0.10193
distantTeams,distantTeams,2,-->,0.061947
distantTeams,distantTeams,4,-->,0.077993
distantTeams,closeOps,0,o-o,-0.78825
distantTeams,closeOps,5,-->,-0.037636
distantTeams,distantOps,0,o-o,0.78741
distantTeams,distantOps,1,-->,0.03503
distantTeams,coordinate_x,0,o-o,0.043375
distantTeams,speed,0,o-o,0.2535
distantTeams,speed,2,-->,-0.031095
closeOps,jerseyNumber,2,-->,0.058504
closeOps,jerseyNumber,3,-->,-0.041762
closeOps,closeTeams,3,-->,0.040856
closeOps,closeTeams,4,-->,-0.035049
closeOps,distantTeams,4,-->,0.041287
closeOps,closeOps,1,-->,0.12711
closeOps,closeOps,2,-->,0.097309
closeOps,closeOps,4,-->,0.038837
closeOps,closeOps,5,-->,0.039263
closeOps,distantOps,0,o-o,-0.99961
closeOps,distantOps,3,-->,-0.11271
closeOps,speed,0,o-o,-0.20826
closeOps,direction,0,o-o,0.031984
distantOps,jerseyNumber,1,-->,-0.11322
distantOps,jerseyNumber,3,-->,0.046227
distantOps,jerseyNumber,5,-->,0.02981
distantOps,closeTeams,1,-->,-0.046279
distantOps,closeTeams,2,-->,-0.047946
distantOps,closeTeams,3,-->,-0.04848
distantOps,closeTeams,4,-->,0.04046
distantOps,distantTeams,1,-->,0.050987
distantOps,distantTeams,2,-->,0.050093
distantOps,distantTeams,3,-->,0.080547
distantOps,closeOps,3,-->,-0.12053
distantOps,distantOps,1,-->,0.13533
distantOps,distantOps,2,-->,0.12968
distantOps,distantOps,3,-->,0.12287
distantOps,distantOps,4,-->,0.028748
distantOps,distantOps,5,-->,0.048523
distantOps,speed,0,o-o,0.208
distantOps,speed,1,-->,0.076419
distantOps,direction,0,o-o,-0.031933
coordinate_x,coordinate_x,1,-->,0.16557
coordinate_x,coordinate_x,2,-->,0.18037
coordinate_x,coordinate_x,3,-->,0.20157
coordinate_x,coordinate_x,4,-->,0.036573
coordinate_x,coordinate_x,5,-->,0.17345
coordinate_x,coordinate_y,0,o-o,0.047878
coordinate_x,coordinate_y,1,-->,0.068171
coordinate_x,coordinate_y,4,-->,-0.032959
coordinate_x,coordinate_y,5,-->,-0.058958
coordinate_x,speed,0,o-o,0.041157
coordinate_x,direction,0,o-o,-0.078185
coordinate_y,jerseyNumber,2,-->,-0.033668
coordinate_y,closeTeams,1,-->,-0.02978
coordinate_y,distantTeams,1,-->,0.029596
coordinate_y,closeOps,5,-->,0.035567
coordinate_y,distantOps,5,-->,-0.035081
coordinate_y,coordinate_x,1,-->,0.1425
coordinate_y,coordinate_x,3,-->,-0.051364
coordinate_y,coordinate_y,1,-->,0.076703
coordinate_y,coordinate_y,2,-->,0.18439
coordinate_y,coordinate_y,3,-->,0.079595
coordinate_y,coordinate_y,4,-->,0.1005
coordinate_y,speed,0,o-o,-0.044051
coordinate_y,direction,0,o-o,-0.040153
speed,jerseyNumber,1,-->,-0.037419
speed,jerseyNumber,2,-->,-0.037945
speed,jerseyNumber,3,-->,0.032286
speed,closeOps,2,-->,-0.032624
speed,distantOps,2,-->,0.031444
speed,coordinate_y,4,-->,0.039717
speed,speed,1,-->,0.20459
speed,speed,2,-->,0.15935
speed,speed,3,-->,0.067049
speed,speed,4,-->,0.080731
speed,speed,5,-->,0.11643
direction,direction,1,-->,0.13309
direction,direction,2,-->,0.075329
direction,direction,3,-->,0.088204
direction,direction,4,-->,0.068323
direction,direction,5,-->,0.094682
